algorithm,seed,eval_step,eval_return,eval_std
SAC,4,5000,-217.6301713980096,49.25896542425932
SAC,4,10000,-192.64182229741883,29.335238496115792
SAC,4,15000,-178.5499923246996,51.2638250518213
SAC,4,20000,-82.675211377043,19.20060886524639
