algorithm,seed,eval_step,eval_return,eval_std
PPO,3,5000,-152.07828481933996,81.15026669232658
PPO,3,10000,-143.964097265041,83.91636958589169
PPO,3,15000,-561.7900497301052,129.94522245412884
PPO,3,20000,-262.1969798397747,134.41786757590168
