algorithm,seed,eval_step,eval_return,eval_std
PPO Enhanced,0,5000,-100.0561634751828,59.547734744600845
PPO Enhanced,0,10000,-67.78737706693313,58.10878749182722
PPO Enhanced,0,15000,-104.60316949407793,56.61248333543099
PPO Enhanced,0,20000,-117.75055195370047,69.7206261339026
