algorithm,seed,eval_step,eval_return,eval_std
ActorCritic,1,5000,-443.87427650836855,145.70532272716687
ActorCritic,1,10000,-452.69713491698406,143.2407589764072
ActorCritic,1,15000,-469.1889689894444,123.07504302651617
ActorCritic,1,20000,-550.8669630741826,93.69849680712342
