algorithm,seed,eval_step,eval_return,eval_std
ActorCritic,4,5000,-597.3715833079383,119.2486233184562
ActorCritic,4,10000,-1051.6268014044224,692.0444329657921
ActorCritic,4,15000,-866.8351307852172,273.54501755174084
ActorCritic,4,20000,-670.7147967104206,341.424499904506
