algorithm,seed,eval_step,eval_return,eval_std
PPO,1,5000,-199.0201232794717,94.28723349796036
PPO,1,10000,-396.1039579223269,123.1153655741896
PPO,1,15000,-253.95849790671667,179.65097957745238
PPO,1,20000,-249.36884375308128,113.47335967612204
