algorithm,seed,eval_step,eval_return,eval_std
PPO,4,5000,-262.1129919176909,155.19367583382243
PPO,4,10000,-189.28230250586097,139.37833180025808
PPO,4,15000,-127.77629299934274,62.087976979260226
PPO,4,20000,-328.025688874406,89.38984056202335
