algorithm,seed,eval_step,eval_return,eval_std
PPO Enhanced,2,5000,-222.65929737794198,116.84706876493952
PPO Enhanced,2,10000,-203.2388240251998,84.09383884720857
PPO Enhanced,2,15000,-196.10375495054234,81.87083362556461
PPO Enhanced,2,20000,-219.5442274765112,87.6282317166664
