algorithm,seed,eval_step,eval_return,eval_std
PPO Enhanced,1,5000,-160.4681493587128,73.32945897741111
PPO Enhanced,1,10000,-317.8588426624341,64.31011243258236
PPO Enhanced,1,15000,-353.3794363128319,50.50971407778846
PPO Enhanced,1,20000,-169.3338724945491,105.18900957061393
