algorithm,seed,eval_step,eval_return,eval_std
ActorCritic,3,5000,-164.56428220861886,75.4137185791898
ActorCritic,3,10000,-278.50551074658284,63.14488047234362
ActorCritic,3,15000,-80.68402708276008,80.44520842849641
ActorCritic,3,20000,-343.3463815158763,16.660543273584302
