algorithm,seed,eval_step,eval_return,eval_std
ActorCritic,2,5000,-157.3102337655783,141.30494861294378
ActorCritic,2,10000,-645.5018744427792,487.7515942233165
ActorCritic,2,15000,-706.5716543946321,170.86333361107222
ActorCritic,2,20000,-716.2535945510868,477.7922625550518
