algorithm,seed,eval_step,eval_return,eval_std
ActorCritic,0,5000,-401.43180551562364,154.952283238662
ActorCritic,0,10000,-728.9392501397152,353.63565069323346
ActorCritic,0,15000,-910.0189940867751,809.0163102345206
ActorCritic,0,20000,-706.9598046120407,354.0070132415933
