algorithm,seed,eval_step,eval_return,eval_std
SAC,2,5000,-122.66416964073387,98.71974249775536
SAC,2,10000,-133.1152044404936,17.6218502363525
SAC,2,15000,-145.15373168139325,33.399626228115764
SAC,2,20000,-151.25697774302415,21.07848602888451
