baseline,seed,eval_step,eval_return,eval_std
gae,1,10000,-180.40477990143626,93.19145588480822
gae,1,20000,-440.38944896629874,60.90321613396053
gae,1,30000,-730.5595303176583,205.1031019201223
gae,1,40000,-1525.6958972924695,115.2163480157012
gae,1,50000,-248.23015142598442,25.177456153477046
gae,1,60000,-267.5379489509464,47.60083185276366
gae,1,70000,-157.35918600688643,16.252919163942696
gae,1,80000,-245.89651750779814,47.383077983245464
gae,1,90000,-403.6173297642194,34.04762505083184
gae,1,100000,-594.6895467914314,47.27709887249008
gae,1,110000,-434.23059707596786,64.61227358346642
gae,1,120000,-384.13084208442325,24.951353984969554
gae,1,130000,-329.896749002379,15.263325751186354
gae,1,140000,-360.86829933016656,48.706664992220325
gae,1,150000,-252.99898396220928,18.21451060833326
gae,1,160000,-248.03335076773865,25.85393437928277
gae,1,170000,-254.6456252814599,27.633371872566286
gae,1,180000,-163.2490468058947,17.099189569911722
gae,1,190000,-144.23394991913074,22.033400397624924
gae,1,200000,-238.33094460679462,21.481001909809404
