baseline,seed,eval_step,eval_return,eval_std
value,0,10000,-889.5208448693026,316.20653151096064
value,0,20000,-90.5263988984999,56.6105294790887
value,0,30000,-170.28437214738318,66.30787109756974
value,0,40000,-876.6232727075476,215.90822320483028
value,0,50000,-342.74471104831446,16.089967215432118
value,0,60000,-201.85071765923266,12.46399337055434
value,0,70000,-123.2439602403022,12.516299040134156
value,0,80000,-223.675247307786,50.818552769615
value,0,90000,-256.67618805167,14.99490907518405
value,0,100000,-199.31428877633928,53.40511573607852
value,0,110000,-205.20245820427044,10.671554610647876
value,0,120000,-158.77414770480252,17.194346466316023
value,0,130000,-124.16420737614044,17.878520106610754
value,0,140000,-148.37669518051095,6.155222920492095
value,0,150000,-174.60965039115203,12.457002330287075
value,0,160000,-386.2745070945206,32.778187568234145
value,0,170000,-272.90359989636374,13.858164258052751
value,0,180000,-73.34713070554976,12.865591604446836
value,0,190000,-89.97047153667828,27.526432460400688
value,0,200000,-157.72676190348605,17.62358887502206
