baseline,seed,eval_step,eval_return,eval_std
avg,3,10000,-371.0625841411806,25.66434763738599
avg,3,20000,-414.0811343918117,64.691664950617
avg,3,30000,-441.1769680170554,48.49941595745661
avg,3,40000,-254.50596617573373,56.826566724035374
avg,3,50000,-132.04591398214563,20.048857550865424
avg,3,60000,-288.97682415843605,69.80295391074661
avg,3,70000,-312.1259905557476,42.61930026662052
avg,3,80000,-237.6340320957915,27.380252988692913
avg,3,90000,-211.0941462968686,16.52362116104203
avg,3,100000,-111.7430677715726,19.68869113133947
avg,3,110000,-100.20348092214265,4.496026542120476
avg,3,120000,-119.99583950970415,17.480641390532124
avg,3,130000,-82.21488712303376,21.61618753652118
avg,3,140000,-85.37949666892854,35.202612023876554
avg,3,150000,-74.82437775985548,27.07709222685185
avg,3,160000,-68.8730511542399,23.30674818756374
avg,3,170000,-51.7692274358311,22.58273447734936
avg,3,180000,-57.41213593975486,11.007242069841958
avg,3,190000,-25.978493035420485,7.043615810707677
avg,3,200000,-1.3207687040049607,24.218382016595065
