baseline,seed,eval_step,eval_return,eval_std
avg,0,10000,-286.38540269104794,17.297299978210354
avg,0,20000,-513.7721617198561,116.01807150733617
avg,0,30000,-221.59042839616205,41.493411843367895
avg,0,40000,-1242.109346579284,524.3347627254815
avg,0,50000,-153.33680720714142,23.33276444102635
avg,0,60000,-193.38064465378014,14.446144128489617
avg,0,70000,-117.36027751842872,22.517442506831962
avg,0,80000,-89.77482698413982,17.84510893613191
avg,0,90000,-104.69037436208964,22.720090754157162
avg,0,100000,-109.44588387215167,22.352451943465997
avg,0,110000,-60.04730485218762,31.637080844795445
avg,0,120000,-53.26942209737265,21.51410713703205
avg,0,130000,-135.86119357410192,17.723441527642162
avg,0,140000,-129.00972347582146,18.784950143229505
avg,0,150000,-55.66683749510878,25.069053727721105
avg,0,160000,-90.7546580580786,17.477956463497552
avg,0,170000,-89.19406027661084,7.701824886131833
avg,0,180000,-53.55141921692986,17.584252761985987
avg,0,190000,-28.05734295934129,18.094573239739173
avg,0,200000,-41.7241818730516,10.840304906918915
