baseline,seed,eval_step,eval_return,eval_std
avg,2,10000,-337.6757825806857,34.148930133140475
avg,2,20000,-413.3501950073675,131.51373775521532
avg,2,30000,-217.86441155855195,46.93294536872145
avg,2,40000,-298.5964751812572,15.218164838005617
avg,2,50000,-224.4721170802577,16.59832473085912
avg,2,60000,-298.2020906875632,23.17179008489726
avg,2,70000,-347.03566838412564,22.616032603284232
avg,2,80000,-732.4005142430142,37.66990409124793
avg,2,90000,-692.9817494503634,61.94514335289016
avg,2,100000,-171.1604669729952,22.807066686682678
avg,2,110000,-104.44178911681698,23.147450305707764
avg,2,120000,-61.22098109055729,16.02152610591223
avg,2,130000,-69.66072937970151,14.939061607572679
avg,2,140000,-49.0477430528811,16.60015840351456
avg,2,150000,-35.36231863685054,7.130748089568698
avg,2,160000,-47.46810545615856,17.303335474386113
avg,2,170000,-39.09772262111477,24.928779350388258
avg,2,180000,-12.736602716138062,23.53036472238849
avg,2,190000,-1.3761365363575577,18.143591470435883
avg,2,200000,-1.8993511750916057,29.76009424044469
