baseline,seed,eval_step,eval_return,eval_std
avg,4,10000,-691.2760867248442,188.31028934523206
avg,4,20000,-6546.78203569511,1078.5287707404773
avg,4,30000,-981.5890358417779,151.74181224378523
avg,4,40000,-1913.8118713111885,519.1276734956871
avg,4,50000,-463.9023878254766,83.56862231319589
avg,4,60000,-158.94911445281775,16.651888253796578
avg,4,70000,-143.23916841616477,15.1014311523933
avg,4,80000,-208.5200473921853,23.51289657781921
avg,4,90000,-44.30347528411423,16.842810535351255
avg,4,100000,-67.64085376234424,29.541142392658077
avg,4,110000,-76.44639463761146,15.30302340168483
avg,4,120000,-50.083083266826655,20.952072141451417
avg,4,130000,-154.56145191377936,18.487359597804314
avg,4,140000,-288.9131709276868,33.27428414796774
avg,4,150000,22.454967136293565,36.551372798436596
avg,4,160000,-164.8390573619031,24.71177465370769
avg,4,170000,-45.768855970356626,39.6731508641678
avg,4,180000,-12.576403444407017,15.486292579263933
avg,4,190000,-24.110786995237945,14.207325692767581
avg,4,200000,-110.96596292347348,13.180601693753387
