baseline,seed,eval_step,eval_return,eval_std
none,3,10000,-371.1601081112415,25.350901420932637
none,3,20000,-1024.8040956662758,396.1711195710879
none,3,30000,-1419.1267034815867,93.87292002920638
none,3,40000,-798.5236287192387,296.24764562668446
none,3,50000,-471.1494275053092,35.241027920633506
none,3,60000,-345.765651039916,31.57722680547439
none,3,70000,-324.18154889132893,23.87415342636711
none,3,80000,-280.94585654405154,22.397165617832517
none,3,90000,-389.17939751344693,19.0114070149936
none,3,100000,-813.7047922786735,35.230383535635234
none,3,110000,-288.4184584673868,46.06723224710541
none,3,120000,-93.18433453346613,27.16053290314038
none,3,130000,-274.32396658937466,60.2857049937227
none,3,140000,-96.73830425373765,28.082121904793777
none,3,150000,-67.94674794178368,27.34644874248024
none,3,160000,-126.07218121110239,42.51930642635343
none,3,170000,-98.8451377059478,15.918472178065096
none,3,180000,-245.9900342649742,34.873358019152796
none,3,190000,-198.26289282081208,24.406777176025148
none,3,200000,-69.6576803635134,14.702068441042508
