baseline,seed,eval_step,eval_return,eval_std
none,0,10000,-286.38540269104794,17.297299978210354
none,0,20000,-818.4081047703413,267.81790550369783
none,0,30000,-323.29970064910447,45.05957617288456
none,0,40000,-192.24135034737378,28.323920438737314
none,0,50000,-188.54287219540765,45.939004216383005
none,0,60000,-279.4627470143658,19.405850048309954
none,0,70000,-192.06311447033795,39.98011249208035
none,0,80000,-143.3795257240167,14.365400745923367
none,0,90000,-171.99406010257138,10.905103770393474
none,0,100000,-139.35356880752312,10.488856756862468
none,0,110000,-108.98988066127376,10.898299788413837
none,0,120000,-77.3861488620005,21.28224585392687
none,0,130000,-54.610477057755624,8.719426605737786
none,0,140000,-97.05975235858621,14.516621975916586
none,0,150000,-81.10298040005036,15.713067173248765
none,0,160000,-54.35546416858657,29.34365885842863
none,0,170000,-49.06258130194337,12.201957920445045
none,0,180000,-86.11469788446178,10.937130223223106
none,0,190000,-68.39909200567382,25.39455352984638
none,0,200000,-49.17843810288603,21.670624515247066
